,Year,Company Name,Country,Industry (Exiobase),Environmental Intensity (Sales),Total Environmental Cost,Working Capacity,Fish Production Capacity,Crop Production Capacity,Meat Production Capacity,Biodiversity,Abiotic Resources,Water production capacity (Drinking water & Irrigation Water),Wood Production Capacity,Macro Industry,CompanySymbol,TotalEsgScore,EnvironmentRiskScore,SocialRiskScore,GovernanceRiskScore,EsgRatingYear
0,2019,SAGA PLC,United Kingdom Of Great Britain And Northern Ireland,Activities auxiliary to financial intermediation (67),-0.028871778195304714,-31842308.83848503,-31150754.209103383,-7184.203318069261,-414256.439747642,-97118.31622879514,-1302.076226593601,-1059.0426063728075,-170775.88645310563,141.33519893753945,Activities auxiliary to financial intermediation (67),SAGA.L,,,,,
1,2019,INTERTEK GROUP PLC,United Kingdom Of Great Britain And Northern Ireland,Activities auxiliary to financial intermediation (67),-0.01529690149601175,-60599271.855608895,-59281663.4150695,-13774.014901581522,-788289.4146969242,-184801.5825553462,-2487.2900040540135,-3804.0511746058532,-324959.7592554626,507.67204859955825,Activities auxiliary to financial intermediation (67),ITRK.L,21.18,0.07,14.59,6.52,2022.0
2,2019,BUREAU VERITAS SA,France,Activities auxiliary to financial intermediation (67),-0.006992731721503737,-39978650.001692966,-39107611.859548755,-9330.459280427365,-520701.49776912224,-121952.57372079638,-1671.2852683682145,-4116.308632180473,-214438.0782734269,1172.0608001192795,Activities auxiliary to financial intermediation (67),BVI.PA,11.29,0.07,6.43,4.79,2022.0
3,2019,RICARDO PLC,United Kingdom Of Great Britain And Northern Ireland,Activities auxiliary to financial intermediation (67),-0.006656639441714828,-3247235.1958178855,-3176407.705325906,-753.1330437318312,-42228.322985672,-9898.992643613916,-134.65837593408287,-468.4261444718966,-17406.47140508659,62.51410653177665,Activities auxiliary to financial intermediation (67),RCDO.L,,,,,
4,2019,ASSYSTEM SA,France,Activities auxiliary to financial intermediation (67),-0.0030551589976566744,-1703975.2138760407,-1666635.5886192918,-418.8972482244504,-22222.61299095377,-5197.8869168562715,-73.61878219767635,-401.56525421772176,-9139.384104177394,114.34003987917919,Activities auxiliary to financial intermediation (67),BZ1.MU,,,,,
5,2019,EXPERIAN PLC,Jersey,Activities auxiliary to financial intermediation (67),-0.0020373597848517703,-9862795.560314089,-9644953.90048299,-2470.936440294124,-128107.67160562341,-30021.35748240848,-425.77239561257596,-4648.52013590691,-52787.77295765973,620.3711864093614,Activities auxiliary to financial intermediation (67),EXPGY,,,,,
6,2019,LONDON STOCK EXCH GROUP PLC,United Kingdom Of Great Britain And Northern Ireland,Activities auxiliary to financial intermediation (67),-0.001904536015220243,-5844956.276486408,-5711500.949898294,-1474.3100178988989,-75855.1900473808,-17775.714069656224,-253.14867053393897,-2946.961702794148,-35543.290712449656,393.2886326002072,Activities auxiliary to financial intermediation (67),LSEG.L,18.48,1.64,7.39,9.46,2022.0
7,2019,DKSH HOLDING AG,Switzerland,Activities auxiliary to financial intermediation (67),-0.0017317862162767237,-20715640.5733919,-19157927.588225547,-4665.379604408009,-253268.02687516029,-59053.920425243785,-831.6162674608104,-6123.560707165898,-1234773.465309624,1002.9840227170905,Activities auxiliary to financial intermediation (67),DKSH.SW,14.53,,,,2022.0
8,2019,AFRY AB,Sweden,Activities auxiliary to financial intermediation (67),-0.0015868297990828317,-3353904.4213838843,-3278729.6955779428,-968.3922985497065,-42098.64497127,-9687.649815903962,-166.1962098008466,-6088.336927752173,-17029.520755562746,864.0151728983851,Activities auxiliary to financial intermediation (67),AFRY.ST,,,,,
9,2019,VIENNA INSURANCE GROUP,Austria,Activities auxiliary to financial intermediation (67),-0.000944128297582918,-11432216.35574205,-11194399.6281997,-2788.466860318759,-140575.96511944535,-32709.330720567337,-480.0599646037766,-4241.65965106737,-57504.680752842185,483.4355264984522,Activities auxiliary to financial intermediation (67),VIG.PR,,,,,
