CompanySymbol,Company Name,TotalEsgScore,EnvironmentRiskScore,SocialRiskScore,GovernanceRiskScore,EsgRatingYear
SAGA.L,SAGA PLC,,,,,
ITRK.L,INTERTEK GROUP PLC,21.18,0.07,14.59,6.52,2022.0
BVI.PA,BUREAU VERITAS SA,11.29,0.07,6.43,4.79,2022.0
RCDO.L,RICARDO PLC,,,,,
BZ1.MU,ASSYSTEM SA,,,,,
EXPGY,EXPERIAN PLC,,,,,
LSEG.L,LONDON STOCK EXCH GROUP PLC,18.48,1.64,7.39,9.46,2022.0
DKSH.SW,DKSH HOLDING AG,14.53,,,,2022.0
AFRY.ST,AFRY AB,,,,,
VIG.PR,VIENNA INSURANCE GROUP,,,,,
PAGE.L,PAGEGROUP PLC,,,,,
BLHEF,BALOISE HOLDING,20.35,2.02,9.44,8.9,2022.0
CS.PA,AXA SA,16.98,1.39,8.28,7.31,2022.0
DBOEY,DEUTSCHE BOERSE AG,,,,,
SFOR.L,CAPITA PLC,,,,,
@HACI OMER SABANCI HOLDING AS,HACI OMER SABANCI HOLDING AS,,,,,
MYH.F,MYTILINEOS SA,,,,,
@TURK SISE CAM,TURK SISE CAM,,,,,
RF.PA,EURAZEO,,,,,
ALB.MC,CORP FINANCIERA ALBA,,,,,
RHM.DE,RHEINMETALL AG,,,,,
SMIN.L,SMITHS GROUP PLC,26.56,13.11,9.14,4.31,2022.0
SIE.DE,SIEMENS AG,30.08,9.73,10.91,9.44,2022.0
AKER.OL,AKER ASA,,,,,
RYAAY,RYANAIR HOLDINGS PLC,,,,,
WIZZ.L,WIZZ AIR HOLDINGS PLC,,,,,
AF.PA,AIR FRANCE - KLM,,,,,
DPW.DE,DEUTSCHE POST AG,15.12,3.96,6.35,4.81,2022.0
@ROYAL MAIL HOLDINGS,ROYAL MAIL HOLDINGS,,,,,
CTT.LS,CTT CORREIOS DE PORTUGAL SA,,,,,
SAS.ST,SAS AB,,,,,
LIN,LINDE PLC,,,,,
@L'AIR LIQUIDE SA,L'AIR LIQUIDE SA,,,,,
WCH.DE,WACKER CHEMIE AG,26.25,10.79,5.75,9.71,2022.0
EVK.DE,EVONIK INDUSTRIES AG,24.61,13.69,3.59,7.33,2022.0
1COV.DE,COVESTRO AG,21.13,11.44,3.51,6.17,2022.0
BRG.OL,BORREGAARD ASA,,,,,
@SUOMINEN CORP,SUOMINEN CORP,,,,,
CLN.SW,CLARIANT AG,20.39,9.49,4.37,6.52,2022.0
SYNT.L,SYNTHOMER PLC,,,,,
KDSKF,KONINKLIJKE DSM NV,19.94,9.86,4.77,5.32,2022.0
CRDA.L,CRODA INTERNATIONAL PLC,22.97,11.69,5.28,6.0,2022.0
VCT.L,VICTREX PLC,,,,,
SVT.L,SEVERN TRENT PLC,15.14,6.06,5.59,3.5,2022.0
UU.L,UNITED UTILITIES GROUP PLC,12.76,3.71,3.44,5.61,2022.0
CAP.PA,CAPGEMINI SE,10.08,0.5,5.75,3.83,2022.0
AVV.L,AVEVA GROUP PLC,,,,,
GLOB.BA,GLOBANT SA,,,,,
VID.L,VIDENDUM PLC,,,,,
@SDL PLC,SDL PLC,,,,,
ACN,ACCENTURE PLC,9.71,0.29,4.58,4.83,2022.0
@SOPHOS GROUP PLC,SOPHOS GROUP PLC,,,,,
SGE.L,SAGE GROUP PLC,17.72,1.27,11.17,5.28,2022.0
NCC.L,NCC GROUP PLC,,,,,
0HA9.IL,INDRA SISTEMAS SA,,,,,
@DASSAULT SYSTEMS SA,DASSAULT SYSTEMS SA,,,,,
ATEA.OL,ATEA ASA,,,,,
TEMN.SW,TEMENOS AG,,,,,
@TRAKYA CAM SANAYII AS,TRAKYA CAM SANAYII AS,,,,,
KBWA.BE,BOSKALIS WESTMINSTER NV,,,,,
